created_at,entry_id,TEMPERATURE (°C),HUMIDITE (%),Fumee (raw),Methane_Gaz_naturel (raw),Monoxyde_de_carbone (raw),Qualite_air (raw),Gas_Type
2025-10-09 08:07:23 UTC,861,30.8,69.9,411.0,0.0,379.0,317.0,Air Pur
2025-11-20 22:50:52 UTC,3773,30.02,53.3,384.0,0.0,377.0,312.0,Air Pur
2025-11-20 18:47:15 UTC,3093,36.0,30.0,380.0,0.0,379.0,321.0,Air Pur
2025-10-06 09:35:46 UTC,467,30.3,57.0,385.0,0.0,370.0,320.0,Air Pur
2025-11-21 02:45:33 UTC,4427,23.81,71.92,410.0,0.0,376.0,296.0,Air Pur
2025-11-20 20:53:28 UTC,3445,33.14,44.11,406.0,0.0,367.0,318.0,Air Pur
2025-11-20 19:15:22 UTC,3172,36.0,30.0,402.0,0.0,369.0,316.0,Air Pur
2025-11-20 17:46:11 UTC,2920,36.0,30.0,399.0,0.0,369.0,309.0,Air Pur
2025-10-06 07:23:54 UTC,131,29.3,60.3,387.0,0.0,374.0,307.0,Air Pur
2025-11-20 10:23:43 UTC,1686,27.04,71.66,398.0,0.0,371.0,299.0,Air Pur
2025-10-09 07:41:57 UTC,770,30.9,70.7,385.0,0.0,367.0,315.0,Air Pur
2025-11-20 14:36:45 UTC,2392,35.41,38.66,406.0,0.0,356.0,316.0,Air Pur
2025-11-20 14:51:58 UTC,2434,35.83,30.0,398.0,0.0,362.0,308.0,Air Pur
2025-10-11 08:44:38 UTC,1185,32.9,65.9,406.0,0.0,371.0,312.0,Air Pur
2025-11-21 03:31:35 UTC,4556,22.85,80.32,402.0,0.0,376.0,311.0,Air Pur
2025-11-20 20:32:18 UTC,3386,34.1,37.75,400.0,0.0,378.0,310.0,Air Pur
2025-11-21 00:54:43 UTC,4118,25.65,79.45,405.0,0.0,365.0,310.0,Air Pur
2025-11-20 17:40:48 UTC,2905,36.0,32.07,399.0,0.0,373.0,319.0,Air Pur
